Site Name,Date,TSS (mg/L),Discharge (cfs)
ID,12/22/2006,7.61,117.6
ID,1/11/2007,9.83,447.6
ID,2/16/2007,8.14,82.8
ID,3/23/2007,7.83,679.2
ID,4/3/2007,6.5,511.2
ID,4/18/2007,6.17,2256
ID,4/27/2007,5.4,722.4
ID,5/23/2007,7,849.6
ID,6/13/2007,12,271.2
ID,7/11/2007,4.8,58.8
ID,7/31/2007,13,72
ID,8/23/2007,16.83,6.84
ID,9/12/2007,5.67,21.6
ID,9/24/2007,10.17,5.28
ID,10/17/2007,13,9.84
ID,11/7/2007,8.33,75.6
ID,11/28/2007,4.29,74.4
ID,12/19/2007,13.33,69.6
ID,1/16/2008,6.83,408
ID,3/24/2008,1,624
ID,4/14/2008,2.17,391.2
ID,5/7/2008,6,355.2
ID,5/29/2008,8.17,61.2
ID,6/24/2008,1.86,62.4
ID,7/17/2008,13.2,64.8
ID,8/7/2008,19.5,236.4
ID,8/26/2008,6.17,92.4
ID,9/23/2008,6.33,88.8
ID,10/14/2008,4.8,134.4
ID,11/4/2008,7.6,150
ID,12/15/2008,4,1260
ID,1/14/2009,37.33,300
ID,2/12/2009,1.87,248.4
ID,2/25/2009,7.4,565.2
ID,4/1/2009,6.67,384
ID,4/24/2009,6.57,483.6
ID,5/15/2009,9,200.4
ID,6/8/2009,7.83,69.6
ID,6/30/2009,16.5,277.2
ID,7/22/2009,13.37,177.6
ID,8/13/2009,6.5,162
ID,9/1/2009,7.9,253.2
ID,10/23/2009,3.3,158.4
ID,11/11/2009,3.5,170.4
ID,12/12/2009,7.1,832.8
ID,1/16/2010,7.4,156
ID,2/16/2010,5.9,162
ID,3/15/2010,13,2760
ID,4/6/2010,3.3,1908
ID,5/2/2010,3.5,214.8
ID,5/24/2010,3.8,199.2
ID,6/18/2010,9,67.2
ID,7/14/2010,6.5,15.6
ID,8/8/2010,8.7,1.32
ID,9/1/2010,4.6,60
ID,9/23/2010,5.4,4.08
ID,10/18/2010,4.8,186
ID,11/8/2010,7.8,148.8
ID,11/30/2010,6.7,146.4
ID,4/7/2011,3,462
ID,5/13/2011,3.2,156
ID,6/8/2011,4.8,97.2
ID,6/29/2011,15,410.4
ID,10/28/2011,13,502.8
ID,11/17/2011,10.25,380.4
ID,12/22/2011,4.67,337.2
ID,1/19/2012,11.71,264
ID,3/14/2012,6.67,290.4
ID,3/26/2012,5.2,150
ID,4/16/2012,3,63.6
ID,5/14/2012,2,345.6
ID,6/1/2012,1.14,116.4
ID,6/26/2012,2.14,174
ID,7/27/2012,4.29,28.8
ID,8/30/2012,2.67,15.6
ID,9/24/2012,2.14,13.2
ID,11/2/2012,5,195.6
ID,12/20/2012,2,169.2
ID,4/5/2013,1.47,327.6
ID,6/4/2013,5.33,144
ID,8/7/2013,3.44,81.6
ID,8/30/2013,3.75,7.56
ID,9/24/2013,2.2,20.4
ID,10/16/2013,3.56,10.8
ID,11/8/2013,1.79,13.2
ID,12/3/2013,1.4,123.6
ID,12/30/2013,2.47,148.8
ID,1/21/2014,1,300
ID,2/19/2014,2.5,163.2
ID,3/20/2014,0.92,410.4
ID,7/15/2014,5.65,60
ID,8/4/2014,1.62,91.2
ID,9/5/2014,1.25,14.4
ID,10/13/2014,1.14,18
ID,11/7/2014,2.22,195.6
ID,12/5/2014,1,356.4
ID,1/6/2015,1,366
ID,3/17/2015,2.78,273.6
ID,4/6/2015,0.75,974.4
ID,4/30/2015,1,303.6
ID,5/21/2015,2.22,61.68
ID,6/15/2015,3.25,67.44
ID,6/26/2015,1.75,102
ID,7/9/2015,2.38,96.6
ID,7/10/2015,2.14,96.96
ID,7/24/2015,2.13,33.96
ID,8/7/2015,2.25,15.24
ID,8/11/2015,3.63,16.56
ID,8/26/2015,2,22.2
ID,9/10/2015,2.38,4.3
ID,9/16/2015,3.38,4.31
ID,10/2/2015,2.75,72.12
ID,10/5/2015,1.78,88.32
ID,10/14/2015,1.71,24.84
ID,10/28/2015,1.57,6.44
ID,10/30/2015,2.22,33.84
ID,11/18/2015,1.14,39.72
ID,11/23/2015,1.89,84.6
ID,12/23/2015,1.89,60.12
ID,1/27/2016,1.14,112.8
ID,2/17/2016,2,134.4
ID,2/17/2016,2,136.8
ID,3/9/2016,1.99,234
ID,4/20/2016,1.44,219.6
ID,5/25/2016,3,49.8
ID,5/26/2016,3,47.28
ID,6/9/2016,2.67,65.28
ID,6/16/2016,2,36.24
ID,6/28/2016,2.6,8.8
ID,7/13/2016,2.6,3.26
ID,7/14/2016,0.67,3.26
ID,7/26/2016,2.17,2.05
ID,8/10/2016,6,0.83
ID,8/15/2016,4.43,0.96
ID,8/23/2016,5.67,0.71
ID,9/7/2016,8.33,0.46
ID,9/8/2016,1.28,0.46
ID,9/8/2016,1.28,0.46
ID,9/21/2016,2.62,0.32
ID,9/29/2016,4.39,0.35
ID,10/5/2016,3.23,0.77
ID,10/19/2016,3.1,1.93
ID,10/22/2016,4.39,18.24
ID,10/22/2016,3.86,16.44
ID,10/22/2016,3.17,15.36
ID,10/22/2016,2.71,14.76
ID,10/22/2016,2.5,13.8
ID,10/22/2016,4.04,13.32
ID,10/22/2016,6.13,12.84
ID,10/22/2016,6.67,12.36
ID,10/22/2016,4.72,11.44
ID,10/23/2016,4.34,13.8
ID,10/23/2016,5.32,16.44
ID,10/24/2016,3.73,21.48
ID,10/24/2016,5.81,22.92
ID,11/2/2016,7.87,78.6
ID,11/15/2016,6.1,49.92
ID,11/15/2016,3,55.2
ID,11/15/2016,9,56.64
ID,11/15/2016,9.33,60.96
ID,11/16/2016,9,63.96
ID,11/16/2016,8.63,63.96
ID,11/16/2016,7.54,63.96
ID,11/16/2016,3.87,62.52
ID,11/16/2016,9.33,62.52
ID,11/16/2016,3.23,67.08
ID,11/17/2016,2.67,77.16
ID,11/17/2016,2.33,80.76
ID,11/18/2016,0.32,86.4
ID,12/11/2016,1.31,61.44
ID,12/14/2016,2,64.56
ID,1/27/2017,4,513.6
ID,3/22/2017,0.72,253.2
ID,4/10/2017,2.38,1182
ID,4/30/2017,1.96,586.8
ID,5/22/2017,2.18,264
ID,6/6/2017,3.82,321.6
ID,6/7/2017,5.06,331.2
ID,6/7/2017,3.39,342
ID,6/7/2017,3.68,346.8
ID,6/7/2017,3.5,357.6
ID,6/7/2017,3.47,362.4
ID,6/8/2017,3.45,439.2
ID,6/8/2017,3.68,490.8
ID,6/9/2017,3.1,512.4
ID,6/9/2017,3.13,519.6
ID,6/10/2017,2.58,498
ID,6/11/2017,4.19,470.4
ID,6/19/2017,2.39,254.4
ID,6/21/2017,3.75,229.2
ID,7/18/2017,1.38,94.92
ID,7/24/2017,4.16,82.68
ID,7/24/2017,7.75,88.32
ID,7/24/2017,4.83,94.32
ID,7/24/2017,4.43,98.4
ID,7/24/2017,4.22,100.56
ID,7/24/2017,3.64,100.56
ID,7/25/2017,3.69,100.56
ID,7/26/2017,3.81,94.2
ID,7/26/2017,11.67,92.16
ID,7/27/2017,2.89,90.12
ID,7/27/2017,3.44,90
ID,7/27/2017,2.46,90
ID,7/28/2017,2.7,91.92
ID,8/3/2017,1.96,73.08
ID,8/27/2017,3.06,6.61
ID,8/30/2017,3.88,3.38
ID,9/18/2017,1.9,5.29
ID,10/11/2017,10.91,6.34
ID,10/16/2017,1.86,4.14
ID,10/30/2017,1.8,81.36
ID,10/30/2017,1.61,85.08
ID,10/30/2017,2.74,79.56
ID,10/30/2017,1.42,81.36
ID,10/30/2017,2.83,79.56
ID,10/30/2017,2.59,77.76
ID,10/31/2017,4.21,99.12
ID,11/1/2017,4.43,107.88
ID,11/2/2017,2.68,134.4
ID,11/2/2017,4.91,142.8
ID,11/3/2017,2.22,142.8
ID,11/8/2017,1.54,105.6
ID,11/13/2017,1.79,57.12
ID,2/13/2018,7.18,219.6
ID,2/14/2018,1.3,220.8
ID,3/6/2018,1.52,270
ID,3/27/2018,3.64,142.8
ID,4/10/2018,1.19,162
ID,4/11/2018,0.29,141.6
ID,5/2/2018,2.8,200.4
ID,5/2/2018,6.56,199.2
ID,5/7/2018,2.47,117.36
ID,5/8/2018,5.25,105.84
ID,5/15/2018,2.64,66.48
ID,5/16/2018,2.82,96
ID,5/17/2018,2.71,87.6
ID,5/18/2018,3.04,79.56
ID,5/19/2018,2.95,73.8
ID,5/20/2018,4.12,82.56
ID,5/23/2018,3.6,73.8
ID,5/24/2018,3.49,67.32
ID,6/5/2018,4.22,37.56
ID,6/12/2018,1.66,18.48
ID,7/2/2018,1.57,72.84
ID,7/11/2018,3.38,16.08
ID,8/7/2018,4.75,9.23
ID,8/15/2018,1.65,132
ID,9/4/2018,1.27,12.48
ID,9/5/2018,1.74,11.12
ID,10/8/2018,2.05,65.52
ID,10/17/2018,9.7,85.56
ID,10/30/2018,11.04,146.4
ID,11/13/2018,11.2,339.6
ID,11/29/2018,1.4,392.4
ID,1/22/2019,1.1,NaN
ID,2/26/2019,1.6,NaN
ID,3/26/2019,3,NaN
ID,4/17/2019,2.1,NaN
ID,5/15/2019,6.263,NaN
ID,6/5/2019,5.1081,NaN
ID,6/14/2019,2.5591,NaN
ID,7/5/2019,14.8,NaN
ID,7/29/2019,14.1,NaN
ID,8/27/2019,5.6,NaN
ID,9/16/2019,4.8,NaN
ID,10/28/2019,6.5,NaN
